Truth    Predicted    Review 
1        0            sudden liberal emergence personal privacy abounding news lately whole clinton thing going know 100 million bucks discover president got boinked intern oh please government waste taxes bit would
 
0        1            trick thriller writing interesting novel manner

1        0            enemy state way engrossing entire running time scary way shows mans decent kafkaism technical
 
0        1            simple formula lead classic movies like north northwest high noon silence lambs big summer blockbusters like men black fugitive air force one lead utter dreck like masterminds event horizon kull conqueror

1        0            casts smith one better big budget leading men movies days hes charming witty never uninteresting hopes charisma make character well developed enough really person
 
0        1            something surprise move us people buy tickets popcorn happy meals

1        0            smiths character frankly perfect least movie perfect
 
0        1            bruce willis bad guy jackal legendary killer hire

1        0            affair another woman lisa bonet ha ha relationship wife regina king basically fine regardless
 
0        1            richard gere good guy former ira assassin vendetta jackal

1        0            generally doesnt real problems human therefore boring except played smith embodies much smith charm without entering id4 men black territory
 
0        1            gere trying stop

1        0            hes good dramatic actor see first half hour six degrees separation proof isnt great whole time makes character likable sympathetic without real strain character makes film lack real deep interesting qualities
 
0        1            gere able stop assassination time kill jackal

1        0            smith becomes involved mass conspiracy involving assasination senator opposed government law would create world surveillance extinguishing privacy know world pretense would make crime easier control passed disk event caught tape outside party nature observer played uh jason lee
 
0        1            script jackal isnt ripped straight todays headlines

1        0            smiths plight dramatized introduced masterminds surveillance sitting vans disguised businesses staring computers pulling tricks faster speeding bullet
 
0        1            fun movie like come richard gere figuring jackals plan developing clever plan foil bad guy

1        0            like guys sole reason film doesnt automatically judge villains
 
0        1            instead get two count em two scenes gere sitting fbi conference room somewhere instantly divines jackals plan hes frank black likely hes handed copy script

1        0            theyre also scary get idea theyre fully aware impact jobs world
 
0        1            never get superficial clue gere flash insight

1        0            theyre obsessed jobs theyre evil hey fun job one else like
 
0        1            like millennium bad guy overwhelming need go people good guy cares whether important hes trying

1        0            unfortunately also backfires bit film instead flashlight darkened room game see everything thus freaked know going
 
0        1            performances

1        0            sure youre chilled youre exacty freaked whats going
 
0        1            disguises good good interesting val kilmers saint

1        0            hes notbad director hell always interesting watch occasionally moronic exhibit days thunder reason hes great hes technical calculated
 
0        1            richard gere made talk entire movie irish accent detracts otherwise lifeless dull performance

1        0            shots perfectly executed leave nothing imagination theyre always making sure youre paying attention
 
0        1            youll encourage producers make like

1        0            incredibly annoying reduces enemy state mechanical mishmash flashy images never expand mind great depths still manage entertain without real problems
 
0        1            instead stay home rent day jackal line fire fire safety video crying loud

1        0            despite never actually becoming great never actually boring always intriguing
 
0        1            prereview note seeing concern body shots sex forced refer particular act innumerable times throughout duration review

1        0            1993 steven spielberg made monster dino hit many critics described schindlers list directors penance need apologize making crowdpleasing blockbuster
 
0        1            try vary word descriptions sex meaning offended pejorative terms name jerry falwell kindly invited hit x left corner screen happens word come across cannot comprehend fret likely another way referring sex

1        0            summer release special effectsloaded actionadventure flick dinosaurs munching human appetizers
 
0        1            body shots film frightened coitus scenes copulation filmed ominously way youd normally expect see violent attack

1        0            following 1993 pattern fashioned another serious inspirational christmas release nature humanity
 
0        1            things sometimes

1        0            several mostly minor changes made enhance films dramatic force
 
0        1            characters film spend every waking moment pondering simplicities sexual acts

1        0            adrift somewhere coast cuba uncertain make way back africa rely two surviving spaniards navigate eastward journey
 
0        1            voice simplistic platitudes like like come sex without love equals violence

1        0            powerful forces aligned baldwins cause
 
0        1            yes complex movies observations get

1        0            larger struggle course one defining humanity
 
0        1            plot concerns vapid sexed twentysomethings night hunt carnal pleasure math morning events

1        0            amistads trek screen encountered choppy waters author barbara chaseriboud cried plagiarism charge denied film makers comes midst upsurge interest incident
 
0        1            meet characters speak directly us confiding us idiotic ruminations intimacy

1        0            unlike great films genre yet never apes anothers style good layer authenticity even core tad stale
 
0        1            exception trent played ron livingston bargain basement patrick bateman rest fade patchwork fake breasts defined abs pearly white teeth creamy flawless skin

1        0            film starts typical fashion defining atmosphere new york city late 1970s mobsters inhibit
 
0        1            additionally one side isnt even entertaining characters indulge buggery without ounce sexiness

1        0            associates go generic motions expect see crime films like
 
0        1            one sexual encounter takes place outside club chain link fence two sensitive characters

1        0            much story told simply interaction lefty donnie
 
0        1            doesnt feel like authentic sexual encounter

1        0            learn accomplishments quite impressive within context complains made top boss easy sympathize
 
0        1            every f k scene film many treated unsexy manner

1        0            newell constantly plays aspect making major theme works well long run
 
0        1            body shots makes fornication dirtier scummy porno film

1        0            storytelling genuinely interesting throughout even motions characters go seem familiar
 
0        1            resulting search nookie take cookie one night leaves us several tedious plot lines follow

1        0            ingredients downonhisluck evangelist church
 
0        1            paul thomas anderson approached boogie nights manner similar cristoffer though boogie nights succeeded

1        0            regrettable crime passion takes baseball bat guys head suddenly finds fugitive murder estranged wife two kids
 
0        1            characters boogie nights idiotic characters anderson seemed care

1        0            atone sins sonny flees rural bayou town louisiana baptizes new creature apostle e f apostle e f sonnys main mission revive abandoned church community preach gospel local radio station
 
0        1            preaches us using characters preach us

1        0            since major hollywood studio wanted risk financing complex movie evangelist apostle project lay dormant almost 13 years duvall able get done paying production money five million dollars
 
0        1            direct public service announcement perils hittin skins

1        0            similarly steep background pentecostal christianity would find apostle thoughtprovoking experience
 
0        1            sentenced 31 years prison thrown fortress privately owned correctional facility equiped stateoftheart futuristic technology run computer called zed

1        0            hand apostles main strength duvalls preaching also limits apostles target audience
 
0        1            although equiped gismos regulate every aspect inmates lives make escape impossible prison authorities often use violence

1        0            terms plot pure entertainment value apostle definitely everyone
 
0        1            jake survives many ordeals earns respect inmates would help begins planing escape

1        0            teenagers action fans comedy fans people find church completely boring stay far away movie since three quarters film watching sonny preach church
 
0        1            lamberts performance also good even bigger talent couldnt help film destined end oblivion

1        0            playwright tom stoppard screenwriter marc norman took astonishingly difficult task wanted write script william shakespeare parallels shakespeares works
 
0        1            considering david finchers latest film game four words come mind

1        0            stoppard norman men love shakespeare wanted make movie everyone else loves shakespeare
 
0        1            michael douglas vehicle director seven isnt nearly clever innovatively suspenseful would us believe

1        0            despite difficulty task succeeded
 
0        1            film draws us intriguing concept aided doubt riveting trailer jaded millionaire douglas presented opportunity enter living fantasy

1        0            could smug selfimportant movie panders diehard shakespeare fans appeal film almost universal youve ever read play shakespeare know anything life likely youll find grand entertainment shakespeare love
 
0        1            48th birthday nicholas van orton douglas invited dinner underachieving younger brother conrad sean penn

1        0            shakespeare however trouble focusing work
 
0        1            conrad special birthday present brother

1        0            course doesnt hurt masterful script work
 
0        1            hands nicholas gift certificate tells contact company called consumer recreation services

1        0            stoppard whose play rozencrantz guildenstern dead inspired interesting film full dry wit boundless understated humor plays similarly dry humor
 
0        1            make life fun conrad tells

1        0            im going see movie im certain numerous references missed
 
0        1            nicholas humors brother telling hell call clear time foolish fantasy roleplaying calls

1        0            fact doubt possible gather everything one viewing
 
0        1            reasons never really made clear nicholas decides go crs see theyre

1        0            theres also brilliant running joke shakespeare constant competition christopher marlowe fact marlowe played openlyhomosexual rupert everett joke proposing slightly twisted explanation marlowes mysterious death pub
 
0        1            ends spending whole day going screening process made sense considering tight schedule keeps claiming

1        0            theres also scene featuring wideeyed dog funny hurt laughing
 
0        1            nevertheless seems nicholas rejected crs client weird things start happening

1        0            theres dog play
 
0        1            douglas built modern career around playing powerful violent unlikable men manipulated unseen hands

1        0            dog
 
0        1            one films basic instinct came creative minds writer joe eszterhas director paul verhoeven

1        0            single minor complaint shakespeare love feel like could moved end
 
0        1            case premise implanting someone elses memories way enhance ones life dream vacation

1        0            story moving missed opportunities final scenes
 
0        1            yet films real goal create vicarious bond audience

1        0            shakespeare love tries many things nails every one film loves shakespeare makes fun film actors writers director perfectly sync
 
0        1            hang end ride truth finally revealed

1        0            also movie potential introduce lot people shakespeares work positive way without seeming condescending superior
 
0        1            game thrilling roller coaster ride

1        0            youve got think twice go see movie title like maximum risk
 
0        1            suspensethriller doesnt much spin circles

1        0            title generic
 
0        1            wonder douglas wont able resist charms mysterious potentially lifethreatening blonde ever heard glenn close

1        0            meaningless
 
0        1            fincher aims hitchcock lands somewhere north joe eszterhas

1        0            pick phone dial 777film world supposed remember new jeanclaude van damme movie one looked kind cool trailers directed chinese hot shot called geez maximum risk
 
0        1            might say game intended viewed literally

1        0            yuck
 
0        1            would submit exactly way tried view film

1        0            mission impossible came close delivering skillful thriller ill give maximum risk edge simply slick tom cruise picture therefore gratifying execution
 
0        1            moment early film van orton realizing game begun smiles walks airport trying figure whos whole thing

1        0            much surprise van damme continues develop pleasant unpretentious action hero
 
0        1            last thoughtprovoking moment film

1        0            track record isnt solid schwarzeneggers hes hell lot adventurous arnold
 
0        1            director wants stay step ahead us

1        0            1993 van damme worked hong kongs premier hardcore action director john woo fairly lame movie called hard target
 
0        1            yet douglas endures personal gauntlet given pieces puzzle illuminate us man really

1        0            find bootleg copy woos radically different directors cut much better eventually released
 
0        1            bryan singers usual suspects one film truly unique ability get lost details pulling back show full masterpiece canvas

1        0            followup directed ringo lam city fire full contact whose hong kong films distinguished action pictures consistently played second fiddle woos operatic offerings
 
0        1            two examples films dont simply manipulate manipulations sake

1        0            surprise maximum risk effective hollywood action flick either hard target woos subsequent broken arrow
 
0        1            actually conducting study causes fear human mind still affected

1        0            heres rundown
 
0        1            drags test subjects foreboding mansion types creepy cgi effects scare cast try audiences patience

1        0            van damme plays french cop named alain moreau shaken policeman friend jeanhugues anglade finds corpse thats alains exact double
 
0        1            original great psychological horror film

1        0            turns alain separated birth twin brother michael killed russian heavies strangely american looking cops
 
0        1            nearly fell asleep twice film probably would guy two rows behind didnt seem personal relationship characters felt needed discuss every decision made film progressed

1        0            alain investigating
 
0        1            owen wilson spends film wandering halls house script justice wonderful comic ability

1        0            assuming michaels identity alain flies new york gets tangled michaels girlfriend natasha henstridge fbi russian mob little odessa
 
0        1            going learn bigger always necessarily better

1        0            story adequate overly involving major plot points basically explained twice case go popcorn wrong moment
 
0        1            one approach haunted house movie twister mindset

1        0            shes great look certainly read line cant really described acting
 
0        1            mind fashions thousand times frightening completely led towards everything

1        0            course acting isnt really hired lost track whether shirt comes often van dammes
 
0        1            certainly hope newer rendition hurt insanity jan de bonts version retain psychological impact original release

1        0            stunts spectacular fact spot van dammes standin makes work less impressive
 
0        1            message bottle begins theresa osborne robin wright penn single mother researcher chicago tribune finds bottle washed shore jogging one day

1        0            main difference lam woo believe woo relies sheer spectacle gas action show pieces lam figured using cinematic space doublebarreled points view make things run
 
0        1            inside bottle anonymous love letter addressed mystery woman named catherine theresa taken aback honesty sweetness shows around work objection finds editor placed letter newspaper

1        0            dont get wrong chow yunfat soars space pumping bullets two pistols chewing toothpick glass confetti littering air around woos hardboiled amazing moment
 
0        1            soon heavy research conducted find wrote letter based type bottle ship logo top typed message traced man named garrett blake theresa finds traveling outer banks boating town north carolina find specifics message

1        0            moment thats hard reproduce hollywood
 
0        1            immediately charmed hesitant unveil truth finds catherine garretts late wife died years earlier

1        0            one thing hollywood doesnt yet chow yunfat
 
0        1            likely wouldnt call giving away anything say pictures end movie fallen deep artificial melodrama didnt buy second

1        0            woos hollywood movies look like work talented upstart maximum risk surprisingly confident picture
 
0        1            positive things say message bottle performances robin wright penn paul newman garretts stubborn loving father far par wasteful shaggy dog love story cinematography caleb deschanel takes great advantage beautiful eastern coast paints chicago equally alluring city

1        0            film editing particularly savvy complement lams shooting style accentuating rather amplifying action
 
0        1            meanwhile costner yet redeem lessthanstellar films made recently

1        0            performances could used fine tuning particular theres annoying overwritten manhattan cab driver early scenes toned jettisoned completely movie doesnt always overcome limitations genre
 
0        1            main characters film little interest say particularly interesting know immediately trouble

1        0            van damme fans treat may well mans best movie international action buffs doubt savor flavorful hong konghollywood hybrid
 
0        1            swear watching message bottle felt read screenplay entirety arriving theater heck actuality im even familiar novel based nicholas sparks

1        0            overarching galactic united nationstype organization called senate presided weak chancellor
 
0        1            always one step ahead characters movie ran closely tightly constraints triedandtrue hollywood melodrama film strip often seemed almost danger tearing

1        0            within senate two camps odds bickering isolationist alliance called republic aggressive rival trade federation
 
0        1            nobody wins prizes guessing garrett eventually find theresas secret several obstacles come within ways living happily ever

1        0            manipulating events behind scenes dangerous reemerging clan called dark lords sith shadowy secretive comprise phantom menace
 
0        1            exact problem occurred last years similar watch realize similar mean meg ryannicolas cage romantic drama city angels

1        0            jedi knight quigon jinn liam neeson apprentice obiwan kenobi ewan mcgregor witness invasion teenage queen amidalas home planet naboo befriend gungan named jar jar ahmed best
 
0        1            could grated disney film based meg cabots novel princess diaries anything cute harmless fun

1        0            desert planet tatooine two jedi jar jar amidala natalie portman attend lengthy drag race involving young boy anakin skywalker jake lloyd
 
0        1            easy

1        0            five protagonists try solicit help freeing naboo visiting city planet coruscant lot debate political maneuvering takes place
 
0        1            take cute harmless fun

1        0            free amidalas helpless planet
 
0        1            couldnt tell audience though braintree mass growing glowing prepubescent girls odd parental popcorn perched persons positively cheered end credits rolled ah film struck lovely nerve fuddyduddy old

1        0            opinion tv last night watched young wannabe celebs pay 400 ticket come running theaters bask front news cameras gushing testimonials phantom menaces greatness exchange seconds national television
 
0        1            julie andrews luminous factor cranked 11 plays mias grandmother aka queen clarisse renaldi shows royal blue lends mia much advice direction eating talking looking like princess department although mias big makeover simply transforms ugly duckling ugly swan

1        0            given kind media mania wondered phantom menace anticipated movie 1999 could possibly live extraordinary hype preceded
 
0        1            queen julie lose dignity sake good laugh

1        0            phantom menace match exaggerated hype
 
0        1            really

1        0            movie russiansounding accents bad guys jamaican accents good guys middle easternsounding accents seedy gamblers accents expected tongue cheek profound
 
0        1            dont let movie fool believing romantic noirs william shakespeare

1        0            least much clear theres plenty eye candy last minutes good guys joe camel lookalikes versus caped horned red devil character mechanical hordes
 
0        1            moves glamorise life hollywood annoying tendency subtract achievement rather expound greatness

1        0            bottom line
 
0        1            movie life although well written puts much makeup man whose life probably pork potatoes rather lobster champagne

1        0            seeing film entertaining informative like visual theme park star wars filler information serving dialogue impressive money shots
 
0        1            oh well lets fantasise onwards assume bit flirtatious playwrite falls love beautiful woman gwyneth paltrow inspiration several plays develop romeo juliet twelfth night

1        0            feeling viewers going come away unimpressed unavoidable similarities foolishly forget judge film respectable merits
 
0        1            oscars deserved movie

1        0            instead tom witzy kevin bacon chicago lineman protagonist
 
0        1            many aspects private ryan life beautiful far superior movies one never assume criteria winning oscar time reasons unexplained undeserving movie win accolade

1        0            lisa tells visualize empty movie theater audience members watching movie screen inside theater also showing movie screen theater
 
0        1            minutes elton john cameo later comes introductory tour numerous plotlines run film 1 spicy ones go european publicity tour leading first live concert londons royal albert hall 2 film producer george wendt screenwriter mark mckinney pitch various film ideas girls manager clifford richard e grant 3 documentary film crew follows girls 4 pregnant mate naoki mori group rapidly approaches due date 5 tabloid publisher barry humphries attempts destroy group help sneaky shutterbug richard obrien

1        0            telling move closer closer screen fuzzy word black letters pops screen begin float closer closer front theater see word sleep
 
0        1            capped live rendition girls bouncy hit say youll wealth laughs merriment sure follow right

1        0            resolution stir echoes live obviously frightful full potential doesnt comes involving appropriately gritty
 
0        1            must give girls credit refreshing willingness make fun writer kim fuller director bob spiers barely come funny joke much less organized framework wacky goingson

1        0            stir echoes isnt good sixth sense need
 
0        1            song grating ever energy number gives proceedings muchneeded shot arm setting stage wave selfreferential humor stemmed screenwriters film ideas film almost mirrors robert altmans player way film snails

1        0            hard see took robert duvall fifteen years get apostle onto bigscreen
 
0        1            section film involving manner derringdo involving speeding bus perhaps effective also points storylines publisher documentary crew lack satisfactory payoff

1        0            matter fact even fifteen years still never managed get financial backing ended paying 5 million money
 
0        1            sad irony screened fright night part 2 day one stars roddy mcdowall passed away age 70

1        0            also wrote script directed film starred central character fiery texas preacher named euliss sonny dewey
 
0        1            several years since charlie brewster ragsdale bmovie actor turned late night horror film host peter vincent mcdowall came face face real live vampire happened charlies next door neighbor

1        0            sons baseball game sonny snaps smashes wifes lover face baseball bat inflicting wound may fatal
 
0        1            decides exact little bit revenge

1        0            knowing else sonny disappears
 
0        1            ends forcing charlie peter battle forces darkness yet

1        0            throws away identification drives car lake takes bus louisiana hoping start
 
0        1            one things made fright night success chris sarandon played charlies stylish next door neighbor taste blood

1        0            tiny mostly poor coastal town bayou boutte sonny finds calling
 
0        1            stylish vamps film dont personality undead first film

1        0            recent article newsweek wrote filmmakers hardly ever depict spirituality strong emphasis holy spirit tends patronizing full charlatans snake handlers
 
0        1            exception werewolf adds much needed comic relief scenes

1        0            really wanted try understand preachers go believe portray accurate way
 
0        1            one bright spot speaking strictly sexist point view traci lin plays charlies skeptical girlfriend

1        0            sonnys act violence toward another human inarguably horrific thing duvall never shrinks fact
 
0        1            really shame career hasnt better since made film

1        0            however act violence brings sonny bayou boutte finds people desperately needs desperately need
 
0        1            ragsdale fair job film doesnt give nearly performance original

1        0            watching duvall onscreen hard imagine would magnificent preacher chosen vocation acting
 
0        1            original always left feeling danger lurking right around corner part 2 feel music video

1        0            camera simply takes goes front little intrusion
 
0        1            another minus part 2 traditional scenes leave audience edge seats waiting something jump shadow rare

1        0            fancy crane shots extended dollies excessive closeups
 
0        1            going watch horror film would far first choice

1        0            way apostle almost plays like documentary technical simplicity importantly sense reality
 
0        1            directoral debut gary oldman chose highly personal family drama violent alcoholic husband father various lives affects

1        0            despite serious character problems still good film
 
0        1            characters places events may special meaning writerdirector audience left dark

1        0            probably know plot make quick
 
0        1            center tale abusive raymond ray winstone film focuses people orbit around

1        0            story starts well enough pretty original basis film
 
0        1            spends days hanging friends pubs girlie bars

1        0            even though seen movies misunderstood erratic prodigies shine ring bell script creates complex narrative focus solely one character
 
0        1            returns home pregnant wife valerie kathy burke fiveyearold daughter

1        0            alas though perfect film much feel like could watching
 
0        1            raymond demonstrates violent tendencies paranoid delusions early accuses valeries brother billy charlie creedmiles stealing

1        0            one real problem unrealistic nature main character
 
0        1            billy valeries mother janet laila morse raymonds nemesis

1        0            course
 
0        1            merely struggles hoping children survive respective torments

1        0            usually yes
 
0        1            description seems bleak havent told half

1        0            come usually guys total nerds even buy shirts much less talk harvard student hip pub picking phone numbers pretty med school
 
0        1            take example extended sequence one billys scuzzy friends defends stray puppy

1        0            girls
 
0        1            granted genuinely powerful sickening moments film expression seems catharsis creator us

1        0            sounds pretty bad film somehow makes ways
 
0        1            actors fine job particularly central roles

1        0            strength movie summed one single word acting
 
0        1            good character drama mean something involved making film audience

1        0            robin williams skill given bereaved psychologist could legendary career knocked path somewhere line
 
0        1            playing god asks one simple eensy teensy thing fully entertain accomplished four easy follow steps crack open skull scoop brain squish foot several times reverse steps two one

1        0            say delivering goods talking
 
0        1            congratulations necessary requirements fully enjoy whole lot nothing

1        0            watching two work going see movies
 
0        1            harsh maybe

1        0            first heard kevin costner making movie called postman thought american version il postino
 
0        1            slooooow motion

1        0            starring costner
 
0        1            poor timothy hutton gets deliver corny lines admire effort puts guy deserves better

1        0            god help us
 
0        1            example duchovny manages distract bad guy making go bathroom get bandages

1        0            found remake postino postapocalyptic epic thought landworld
 
0        1            survival instincts good dose common sense seems suggest grabbing shotgun hero contemplating thirty seconds

1        0            please god make stop
 
0        1            mind ive never fired shotgun life believe bad guy would missing vital organs stoned

1        0            turns postman much better film expected
 
0        1            solution

1        0            costners nameless character wandering actor rides vast wasteland soon shanghaied service general bethlehem patton former copymachine salesman turned bandit king
 
0        1            still shotgun bring along say

1        0            hero escapes discovers body dead postman
 
0        1            subject getting shot hades fbi guys sitting backs door

1        0            one young disciple ford lincoln mercury larenz tate organizes fullscale postal service
 
0        1            ive got formal training even know never sit back door

1        0            ford spreads postmans message hope bethlehem finds oncemeek villagers beginning resist rule
 
0        1            instance

1        0            war breaks bethlehems army postal workers costners character steps legend created goes selfcentered loner leader revolution
 
0        1            chooses go clean suffer dt

1        0            lie restored united states becomes selffulfilling prophecy
 
0        1            going clean really honorable would waited need conscious able fire gun

1        0            postman odd blend bleak setting message wideeyed optimism sort sergio leone meets frank capra treatment hope renewal compelling
 
0        1            turns good reasons

1        0            could another knockoff road warrior like waterworld surprises viewer sensitively told story nobility emerging rubble
 
0        1            needs story emotional center

1        0            ford lincoln mercury selfnamed polar opposite odog tates character debut film menace ii society 1993 tate makes fords innocent belief hope convincing odogs cynicism brutality
 
0        1            vast majority jokes funny

1        0            performance sells movie
 
0        1            jay silent bob strike back leads

1        0            predictably husband soon eliminated bandits abby thrown back company hero
 
0        1            jay silent bob played jason mewes kevin smith chased away front convenience store dealing drugs clerks

1        0            postman costners best work thus far
 
0        1            leaves loose ends

1        0            mystical interpretation required appreciate movies
 
0        1            hollywood shake movie company adventures along way

1        0            example casino uses subtitles robert deniro joe pesci using code words
 
0        1            film mostly adventures road get hollywood

1        0            toward end uses three quick dissolves compress scene car backing away building
 
0        1            silent bob silent contribute comedy reacting expressive face

1        0            story told strict chronological order cinematic visions embellish literal story
 
0        1            could carry load extremely inventive

1        0            one makes interesting statement pay attention films opening shot watch repeated
 
0        1            film offer much adult audience

1        0            boy picks correctly proving new old dalai lama
 
0        1            saw film christmas day expecting upbeat comedy

1        0            selecting item would look monk perhaps sort confirmation
 
0        1            four rooms

1        0            point boy raised reincarnation lamas spirit future leader nation
 
0        1            four rooms supposed one biggest hits year

1        0            u might grounds call social services
 
0        1            four biggest directors hollywood quentin tarantino robert rodriguez alexander rockwell alison anders directing one big film big popular cast

1        0            nearly running gag buy sheep keep herded slaughter
 
0        1            tarantino told directors plot wrote script

1        0            movie ends much agonizing dalai lama leaves tibet india
 
0        1            room man accuses every man sleeping wife

1        0            doesnt fit mold
 
0        1            final one tarantino willis movie star wanting bellboy chop someones finger

1        0            bricks rich reddish brown unlike skin tone tibetans
 
0        1            supporting cast loses meaning word support mentionable actorsactresses antonio banderas jennifer beals

1        0            gives interesting insight tibetan buddhism takes warm look dalai lama person
 
0        1            movie worst film year film could great perhaps like upbeat plaza suite wasnt

1        0            sixteen years francis ford copolla returned favorite project making third installment godfathertrilogy
 
0        1            warren beatty diane keaton goldie hawn gary shandling star pair married couples whose complacent lives shaken director peter chelsoms version classic romantic screwball comedy town country

1        0            new film underrated reason
 
0        1            drawing room farce 30s dealt sexual innuendo relied wit great deal commotion noise place viewer thick duplicitous romantic action

1        0            god take payoffs
 
0        1            back impossibly wealthy scions society much free time would get wrapped sorts sexual peccadilloes spouses lovers everything come right end see philadelphia story great farce

1        0            plot movie concocted coppola mario puzo screenplay inspired headlines brings corleone family inner circles corruption vatican
 
0        1            town country impossibly wealthy protagonists much free time kind people jobs never seem work sexual misconduct several levels

1        0            copollas first two godfatherfilms famous deep intellectual plots tree dimensional characters incredible acting visual perfection
 
0        1            almost life original script michael laughlin buck henry tcs downfall

1        0            third installment plot visuals
 
0        1            porter stoddard beatty highpowered new york architect good life indeed

1        0            characters could much developed acting although good never accomplishes reach height first two films
 
0        1            porter tries get control life late like man fighting quicksand struggle sinks deeper

1        0            biggest miscasting sofia copolla unconvincing unemotional manages ruin several scenes throughout movie could grander emotional
 
0        1            90minute mark town country asked whats point

1        0            suffers pangs conscience takes revenge familys behalf supposed strong uncomplicated way vito corleone
 
0        1            supporting cast given nothing sometimes harm film given material forced use

1        0            characters like vito corleone tom hagen really missed
 
0        1            nastassja kinski plays cellist porter fling

1        0            third film michael become almost like father vito first film vincenzo resembles michael much younger
 
0        1            jenna elfman sweet smart ditz joins porter griffin one tacked misadventures

1        0            parallel could interesting vincenzos character developed
 
0        1            andie macdowell absolutely painful watch wealthy heiress kind movie

1        0            disagree
 
0        1            comes porter

1        0            first film showed horrible results corleones life
 
0        1            morality film seems get away go

1        0            life chose like quicksand one wrong step doomed
 
0        1            helmer chelsom made outstanding offbeat comedy funny bones mired mess script never puts imprint town country

1        0            matter hard try get free matter powerful wealthy helpless sinking deeper deeper till swallows completely
 
0        1            opulent sets caroline hanania lavish wardrobes molly maginnis topnotch photography william fraker cannot save town country

1        0            dies alone miserable unforgiven
 
0        1            brit love story offing

1        0            opening credits theme division established
 
0        1            saved prentice appears respects barring protective attitude towards karl average streetwise punkinthemaking

1        0            cast credits clear distinct lines separating first last names
 
0        1            ensuing scene ends boys ridiculed unfairly expelled school

1        0            desert settlement hundreds kilometres nearest town uneasy calm local aboriginals handful white settlers live nearby
 
0        1            see another eighteen yeas

1        0            eye eye
 
0        1            time prentice matured somewhat loveable brash bullheaed goon screws jobs relationships gamely clinging onto perennial adolescence via lether jackets motorcycles punk rock music

1        0            warned scene near start squeamish
 
0        1            chance brings two together love inevitably blossom quirky british romantic comedy skewed little story largely

1        0            local priest aboriginal white fellas church foot either side line
 
0        1            newborn woman purposes confusions sensitivities deserve treatment touch delicacy

1        0            ernie dingo brings great deal understanding role man middle
 
0        1            lightweight comedy doomed couldve still hacked requisitive endearing couple

1        0            appears know
 
0        1            rupert graves gives us heroic performance prentice guy never grew bafta prize convincing portrayal rabid fan buzzcocks concert win guess theres reason explain hes screwed

1        0            everyone affected fall
 
0        1            oddly enough grow like show youll wanting happy ending film wont fail either

1        0            aboriginal priest best sums
 
0        1            couple prevail disagreeable society come together kims apartment

1        0            talking love like dancing architecture changed sounded much like recent boxoffice dud dancing lughnasa film slaps together stunning cast hollywood names playing interesting wellwritten characters within vignettesstyled plot arrangement la robert altman
 
0        1            best kim sheds insecurities learns ride motorcycle wear leathers making prentice ride pilion

1        0            older couple dealing past love man secret recently uncovered
 
0        1            terrific closure

1        0            many nuances picture many ideas quotes could relate importantly diversity
 
0        1            happy ending

1        0            theres little bit everything everyone
 
0        1            pretty good bring friend

1        0            sean connery solid older man issues resolve gena rowlands aging wife trepidations
 
0        1            perfection

1        0            jolie comes film star great performance philippe prettyboy ever
 
0        1            two cameos brooke shields mariah carey also good brooke best

1        0            even dennis quaid manages step outside overacting shoes film offers convincing show man lost within imagination
 
0        1            jimmie decides wants bring relationship little bit

1        0            ending film also little saccharine guess thats hollywood
 
0        1            really doesnt realize anne thinks wants marry wants never catch

1        0            film actually lot like friends neigbors 5 510 happiness 4 510 concept style complete anthesis regards character relatibility likeness
 
0        1            long marries next day 6 05 pm

1        0            little known facts film stars according story london sunday mirror sean connery asked 60 000 role movie compared usual fee 14 million liked script much
 
0        1            sister played marley shelton also good two good chemistry onscreen

1        0            directorwriter willard carroll second real foray world adult films
 
0        1            like original idea end everyone knows going happen due cliches typicalness

1        0            angelina jolies full name angelina jolie voight
 
0        1            bachelor works good levels fact doesnt work

1        0            actor jon voights daughter
 
0        1            good time laughed three times

1        0            trained performed lee strasberg theatre institute
 
0        1            parts seems go forever parts seem last enough time

1        0            divorced actor jonny lee miller trainspotting 8 510
 
0        1            think saying xfiles one summers anticipated films safe

1        0            kundun presence name monks call young dalai lama opens 1937 search 14th incarnation tibetan leader
 
0        1            premise movie television series two fbi agents investigate paranormal fox mulder david duchovny avid believer whose quest find truth extraterrestrial life borders paranoid dana scully gillian anderson scientific skeptic trying find rational explanation mulders flights fancy

1        0            eventually must make painful choice flee neighboring india
 
0        1            outlining plot xfiles movie virtually impossible since general would result confusion yet specific would give much away

1        0            disappointment chairman mao looks like wax dummy moves computergenerated character
 
0        1            nevertheless try

1        0            film magnificently beautiful thanks primarily cinematography roger deakins
 
0        1            black ooze extraterrestrial viruslike substance threatening earth

1        0            decision overexplain rituals commendable
 
0        1            mulder scully know truth try expose invasion coverup

1        0            grand looks historically accurate distance audience movie
 
0        1            isolated individual text xfiles stand alone

1        0            exception scenes involvement characters slight
 
0        1            although secondary characters histories may confuse uninitiated characters essential film

1        0            boot accompanied intense well written thoughtful story
 
